pdf_index,site_row,skip,filename,title,agency,release_date,url,folder
20,20,False,NASA-UAP-D3_Gemini_7_Transcript_1965.pdf,"NASA-UAP-D3, Gemini 7 Transcript, 1965",NASA,5/8/26,https://www.war.gov/medialink/ufo/release_1/255_t_763_r1b_transcripts.pdf,NASA-UAP-D3_Gemini_7_Transcript_1965
21,22,False,331_120752_Numeric_Files_1944_1945_37153_German_Armament_Equipment_Documents.pdf,331_120752_Numeric_Files_1944–1945_37153_German_Armament_Equipment_Documents,Department of War,5/8/26,https://www.war.gov/medialink/ufo/release_1/331_120752_numeric_files_1944–1945_37153_german_armament_equipment_documents.pdf,331_120752_Numeric_Files_1944_1945_37153_German_Armament_Equipment_Documents
22,23,False,341_110448_Records_Relating_to_the_Collection_and_Dissemination_of_Intelligence_1948-1955-TS_CONT_No.2_2-5300-2-5399.pdf,341_110448_Records_Relating_to_the_Collection_and_Dissemination_of_Intelligence_1948-1955-TS_CONT_No.2_2-5300-2-5399,Department of War,5/8/26,https://www.war.gov/medialink/ufo/release_1/341_110448_records_relating_to_the_collection_and_dissemination_of_intelligence_1948-1955-ts_cont_no.2_2-5300-2-5399.pdf,341_110448_Records_Relating_to_the_Collection_and_Dissemination_of_Intelligence_1948-1955-TS_CONT_No.2_2-5300-2-5399
23,24,False,341_110677_Numerical_File_5-2500.pdf,"341_110677_Numerical_File,_5-2500",Department of War,5/8/26,https://www.war.gov/medialink/ufo/release_1/341_110677_numerical_file_5-2500.pdf,341_110677_Numerical_File_5-2500
24,25,False,342_HS1-416511228_319.1_Flying_Discs_1949.pdf,342_HS1-416511228_319.1 Flying Discs 1949,Department of War,5/8/26,https://www.war.gov/medialink/ufo/release_1/342_hs1-416511228_box186_319.1-flying-discs-1949.pdf,342_HS1-416511228_319.1_Flying_Discs_1949
25,26,False,38_143685_box_Incident_Summaries_101-172.pdf,38_143685_box_Incident_Summaries_101-172,Department of War,5/8/26,https://www.war.gov/medialink/ufo/release_1/38_143685_box7_incident_summaries_101-172.pdf,38_143685_box_Incident_Summaries_101-172
26,27,False,38_143685_box_Incident_Summaries_173-233.pdf,38_143685_box_Incident_Summaries_173-233,Department of War,5/8/26,https://www.war.gov/medialink/ufo/release_1/38_143685_box7_incident_summaries_173-233.pdf,38_143685_box_Incident_Summaries_173-233
27,28,False,38_143685_box7_Incident_Summaries_1-100.pdf,38_143685_box7_Incident_Summaries_1-100,Department of War,5/8/26,https://www.war.gov/medialink/ufo/release_1/38_143685_box7_incident_summaries_1-100.pdf,38_143685_box7_Incident_Summaries_1-100
28,29,False,59_214434_SP_16_7.18.1963.pdf,59_214434_SP 16 [7.18.1963],Department of State,5/8/26,https://www.war.gov/medialink/ufo/release_1/59_214434_sp_16_[7.18.1963].pdf,59_214434_SP_16_7.18.1963
29,30,False,59_64634_711.5612_7-2852.pdf,59_64634_711.5612[7-2852,Department of State,5/8/26,https://www.war.gov/medialink/ufo/release_1/59_214434_sp_16_7.18.1963.pdf,59_64634_711.5612_7-2852
30,31,False,65_HS1-101634279_100-DE-18221_Serial_844.pdf,65_HS1-101634279_100-DE-18221_Serial_844,FBI,5/8/26,https://www.war.gov/medialink/ufo/release_1/65_hs1-101634279_100-de-18221_serial_844.pdf,65_HS1-101634279_100-DE-18221_Serial_844
31,32,False,65_HS1-101634279_100-DE-26505.pdf,65_HS1-101634279_100-DE-26505,FBI,5/8/26,https://www.war.gov/medialink/ufo/release_1/65_hs1-101634279_100-de-26505.pdf,65_HS1-101634279_100-DE-26505
32,33,False,65_HS1-834228961_62-HQ-83894_Section_1.pdf,65_HS1-834228961_62-HQ-83894_Section_1,FBI,5/8/26,https://www.war.gov/medialink/ufo/release_1/65_hs1-834228961_62-hq-83894_section_1.pdf,65_HS1-834228961_62-HQ-83894_Section_1
33,34,False,65_HS1-834228961_62-HQ-83894_Section_8.pdf,65_HS1-834228961_62-HQ-83894_Section_8,FBI,5/8/26,https://www.war.gov/medialink/ufo/release_1/65_hs1-834228961_62-hq-83894_section_8.pdf,65_HS1-834228961_62-HQ-83894_Section_8
34,35,False,DOW-UAP-D10_Mission_Report_Middle_East_May_2022.pdf,"DOW-UAP-D10, Mission Report, Middle East, May 2022",Department of War,5/8/26,https://www.war.gov/medialink/ufo/release_1/dow-uap-d10-mission-report-middle-east-may-2022.pdf,DOW-UAP-D10_Mission_Report_Middle_East_May_2022
35,36,False,DOW-UAP-D12_Mission_Report_Iraq_May_2022.pdf,"DOW-UAP-D12, Mission Report, Iraq, May 2022",Department of War,5/8/26,https://www.war.gov/medialink/ufo/release_1/dow-uap-d12-mission-report-iraq-may-2022.pdf,DOW-UAP-D12_Mission_Report_Iraq_May_2022
36,37,False,DOW-UAP-D14_Mission_Report_Iraq_May_2022.pdf,"DOW-UAP-D14, Mission Report, Iraq, May 2022",Department of War,5/8/26,https://www.war.gov/medialink/ufo/release_1/dow-uap-d14-mission-report-iraq-may-2022.pdf,DOW-UAP-D14_Mission_Report_Iraq_May_2022
37,38,False,DOW-UAP-D16_Mission_Report_Syria_July_2022.pdf,"DOW-UAP-D16, Mission Report, Syria, July 2022",Department of War,5/8/26,https://www.war.gov/medialink/ufo/release_1/dow-uap-d16-mission-report-syria-july-2022.pdf,DOW-UAP-D16_Mission_Report_Syria_July_2022
38,39,False,DOW-UAP-D18_Mission_Report_Iraq_December_2022.pdf,"DOW-UAP-D18, Mission Report, Iraq, December 2022",Department of War,5/8/26,https://www.war.gov/medialink/ufo/release_1/dow-uap-d18-mission-report-iraq-december-2022.pdf,DOW-UAP-D18_Mission_Report_Iraq_December_2022
